Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01012259,284,56,131,44,37,16,0,0,0
S01012260,398,113,136,70,57,13,8,1,0
S01012261,339,61,131,66,52,24,5,0,0
S01012262,525,120,205,79,86,29,2,1,0
S01012263,382,185,121,38,24,12,2,0,0
S01012264,224,95,74,18,27,4,1,1,0
S01012265,356,104,136,56,42,9,5,1,0
S01012266,566,247,187,68,50,12,2,0,0
S01012267,381,135,139,59,41,6,1,0,0
S01012268,302,73,124,52,36,15,0,1,0
S01012269,471,165,180,64,42,12,1,0,2
S01012270,363,133,116,55,42,14,4,1,0
S01012271,873,205,306,170,131,48,9,0,0
S01012272,315,87,135,37,42,12,1,1,0
S01012273,378,96,162,47,54,16,5,0,0
S01012274,458,193,162,44,40,12,6,1,0
S01012275,480,277,142,28,12,11,3,1,1
S01012276,508,213,174,55,54,12,5,0,0
S01012277,524,214,167,72,60,9,2,0,0
S01012278,440,260,108,41,22,6,1,0,0
S01012279,408,203,123,51,19,8,1,2,0
