Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012787,218,141,35,65,44,77,77,0,0,0
S01012788,272,235,18,160,60,33,30,2,0,1
S01012789,331,257,60,95,100,74,73,0,0,0
S01012790,315,164,103,21,40,155,154,1,0,0
S01012791,336,252,105,135,7,84,79,3,0,0
S01012792,486,246,15,109,121,238,233,2,0,2
S01012793,364,112,13,73,30,249,237,6,6,1
S01012794,395,53,9,24,16,341,340,1,0,1
S01012795,450,315,19,171,125,135,135,0,0,0
S01012796,326,265,24,136,105,61,61,0,0,0
S01012797,286,259,11,127,120,25,24,0,0,2
S01012798,457,290,222,47,21,167,160,10,0,0
S01012799,424,235,174,41,19,190,163,26,0,0
S01012800,387,239,190,39,11,148,134,13,1,0
S01012801,249,42,28,11,3,208,188,10,6,0
S01012802,208,205,196,4,0,6,6,1,1,0
S01012803,258,257,138,88,31,1,1,0,0,0
S01012804,330,320,59,109,152,9,9,0,0,1
S01012805,365,351,16,139,202,14,14,0,0,0
S01012806,333,319,122,34,161,16,13,3,0,0
S01012807,229,195,175,12,6,36,36,0,0,0
S01012808,905,606,365,68,173,296,284,9,3,0
S01012809,341,113,72,25,16,231,210,12,9,0
S01012810,433,136,41,36,60,297,291,2,1,0
S01012811,387,298,72,44,182,89,83,5,0,0
S01012812,284,221,60,35,126,63,62,1,0,0
S01012813,406,366,210,85,70,37,27,10,0,0
S01012814,335,327,139,139,52,5,5,0,0,0
S01012815,338,286,231,48,7,51,51,0,0,2
S01012816,231,191,66,67,58,39,39,0,0,0
S01012817,175,172,149,20,3,2,2,0,0,1
S01012818,275,272,193,17,62,3,2,1,0,0
S01012819,356,162,17,23,122,193,191,3,1,0
S01012820,1554,1528,998,370,159,26,24,1,2,0
S01012821,264,238,165,62,15,26,25,0,1,0
S01012822,233,49,15,20,14,181,180,0,2,0
S01012823,283,276,100,150,28,7,6,1,0,0
S01012824,267,215,49,42,121,52,52,0,0,0
S01012825,252,115,36,52,27,137,135,2,0,0
S01012826,226,175,25,129,21,51,50,1,0,0
S01012827,238,225,144,73,1,15,12,2,1,0
S01012828,361,283,148,33,102,82,80,0,0,0
S01012829,341,242,24,126,92,99,95,2,0,0
S01012830,320,208,64,115,29,115,115,0,0,0
S01012831,340,221,16,188,17,119,118,1,0,0
S01012832,253,240,33,112,95,13,13,0,0,0
S01012833,318,280,20,119,141,38,38,0,0,0
S01012834,309,192,39,131,22,117,109,2,0,2
S01012835,428,243,47,139,57,185,176,11,1,0
S01012836,236,228,169,25,37,7,7,0,0,0
S01012837,292,141,11,58,72,151,150,1,0,0
S01012838,368,72,11,33,28,293,294,1,1,0
S01012839,289,222,54,127,44,67,66,1,0,0
S01012840,309,266,210,44,12,44,44,0,0,0
S01012841,251,206,49,136,21,43,44,2,0,0
S01012842,213,177,38,67,68,36,29,7,0,0
S01012843,350,304,76,211,13,50,43,7,0,0
S01012844,253,221,51,167,3,31,5,26,0,1
S01012845,340,196,56,108,35,141,117,23,1,0
S01012846,513,97,13,72,10,416,406,0,9,0
S01012847,271,165,49,108,8,103,102,4,0,0
