Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01007097,2322,9,23,5,2,4
S01007098,1131,4,10,0,0,2
S01007099,861,4,1,0,0,0
S01007100,726,0,4,1,0,5
S01007101,774,4,17,0,0,3
S01007102,698,0,4,0,0,1
S01007103,816,1,4,0,1,0
S01007104,566,3,4,3,2,0
S01007105,512,1,0,0,0,0
S01007106,627,1,4,0,1,0
S01007107,744,0,3,0,0,1
S01007108,1329,7,5,7,1,0
S01007109,816,6,6,1,3,0
S01007110,757,1,6,4,0,0
S01007111,483,0,0,0,0,0
S01007112,511,0,0,1,0,2
S01007113,547,2,4,1,0,1
S01007114,840,2,3,0,0,1
S01007115,636,0,7,0,1,0
S01007116,882,2,5,0,0,0
S01007117,429,2,1,0,0,0
S01007118,601,8,3,6,0,7
S01007119,655,0,0,0,0,0
S01007120,978,7,2,3,3,14
S01007121,501,1,2,1,0,2
S01007122,541,4,3,0,0,2
S01007123,701,6,3,4,0,4
S01007124,820,2,4,6,0,4
S01007125,779,14,8,0,0,9
S01007126,914,11,4,0,0,0
S01007127,871,9,21,0,0,4
S01007128,728,8,4,0,1,0
S01007129,893,5,11,4,0,1
S01007130,549,4,1,0,0,0
S01007131,735,0,9,0,0,1
S01007132,630,13,2,1,1,2
S01007133,575,3,6,0,0,1
S01007134,632,4,7,0,0,0
S01007135,492,3,4,0,0,0
S01007136,572,6,32,1,0,7
S01007137,689,10,13,11,0,12
S01007138,590,6,10,0,0,0
S01007139,713,3,4,2,0,1
S01007140,1115,11,10,0,0,5
S01007141,1147,11,24,6,0,10
S01007142,1027,9,61,3,1,2
S01007143,613,0,4,0,0,1
S01007144,895,1,8,4,0,0
S01007145,904,7,26,0,0,12
S01007146,704,15,11,0,0,2
S01007147,644,9,22,0,0,2
S01007148,455,2,15,0,1,0
S01007149,486,2,21,0,0,0
S01007150,766,4,14,0,2,1
S01007151,1133,10,48,0,0,2
S01007152,515,4,9,0,0,2
S01007153,646,5,7,0,2,0
S01007154,704,0,14,0,0,7
S01007155,606,5,6,0,0,5
S01007156,687,6,4,0,0,1
S01007157,608,2,0,0,0,1
S01007158,860,0,15,0,0,1
S01007159,1136,13,5,3,0,19
S01007160,811,1,2,1,0,0
S01007161,713,2,13,0,0,1
S01007162,490,8,2,2,0,0
S01007163,889,9,7,0,0,0
S01007164,552,2,2,0,0,0
S01007165,794,1,4,1,0,0
S01007166,633,6,1,2,1,4
S01007167,751,0,1,1,0,3
S01007168,867,7,5,3,0,8
S01007169,694,10,6,0,0,2
S01007170,672,7,8,10,7,3
S01007171,1206,7,11,8,2,5
S01007172,968,9,2,2,2,2
S01007173,810,4,10,0,1,2
S01007174,978,3,2,0,0,0
S01007175,679,0,5,0,0,2
S01007176,620,11,7,6,0,7
S01007177,542,4,3,5,1,0
S01007178,737,1,9,1,0,4
S01007179,836,8,7,0,0,0
S01007180,769,2,2,1,0,4
S01007181,681,4,5,0,2,1
S01007182,911,2,9,5,0,0
S01007183,1046,1,3,0,0,0
S01007184,954,9,4,4,0,2
S01007185,793,8,12,2,0,4
S01007186,528,5,11,0,0,10
S01007187,688,4,11,1,0,0
S01007188,555,0,2,0,1,18
S01007189,808,6,4,1,2,4
S01007190,780,0,9,0,0,2
S01007191,472,2,2,0,0,0
S01007192,1142,5,11,7,0,0
S01007193,672,0,9,0,0,1
S01007194,492,1,1,0,0,3
S01007195,568,1,0,1,0,1
S01007196,909,0,5,0,1,8
S01007197,574,7,3,1,0,4
S01007198,479,4,2,4,0,4
S01007199,681,2,1,5,0,14
S01007200,827,0,0,0,0,8
S01007201,647,18,3,5,0,10
S01007202,689,5,2,0,0,1
S01007203,446,3,5,0,0,6
S01007204,925,5,4,0,1,0
S01007205,648,3,1,0,2,1
S01007206,332,1,4,0,0,0
S01007207,834,2,5,0,0,1
S01007208,989,6,12,1,0,2
S01007209,665,14,23,0,0,1
S01007210,625,4,0,3,0,2
S01007211,934,8,11,0,0,3
S01007212,390,0,5,0,0,0
S01007213,805,5,4,0,0,0
S01007214,655,4,9,1,0,1
S01007215,547,0,9,4,0,1
S01007216,827,1,8,0,0,0
S01007217,896,7,5,0,0,0
S01007218,805,4,9,0,0,4
S01007219,681,4,9,2,0,0
S01007220,741,3,2,0,0,1
S01007221,950,13,10,2,1,8
S01007222,635,2,9,0,0,0
S01007223,548,4,1,2,4,0
S01007224,585,5,5,0,0,0
