Data zone code,Data zone name,Total population
S01007179,Arbroath Kirkton - 07,851
S01007180,Arbroath Keptie - 01,783
S01007181,Arbroath Keptie - 02,686
S01007182,Arbroath Keptie - 03,932
S01007183,Arbroath Keptie - 04,1052
S01007184,Arbroath Harbour - 01,972
S01007185,Arbroath Harbour - 02,838
S01007186,Arbroath Harbour - 03,555
S01007187,Arbroath Harbour - 04,698
S01007188,Arbroath Harbour - 05,587
S01007189,Arbroath Harbour - 06,809
S01007190,Arbroath Cliffburn - 01,788
S01007191,Arbroath Cliffburn - 02,483
S01007192,Arbroath Cliffburn - 03,1160
S01007193,Arbroath Cliffburn - 04,684
S01007194,Arbroath Cliffburn - 05,495
S01007195,Arbroath Cliffburn - 06,572
S01007196,Arbroath Cliffburn - 07,929
S01007197,Arbroath Warddykes - 01,587
S01007198,Arbroath Warddykes - 02,507
S01007199,Arbroath Warddykes - 03,694
S01007200,Arbroath Warddykes - 04,820
S01007201,Arbroath Warddykes - 05,687
S01007202,Arbroath Warddykes - 06,684
S01007203,Arbroath Warddykes - 07,456
S01007204,Lunan - 01,942
S01007205,Lunan - 02,657
S01007206,Lunan - 03,338
S01007207,Lunan - 04,839
S01007208,Montrose South - 01,972
S01007209,Montrose South - 02,709
S01007210,Montrose South - 03,639
S01007211,Montrose South - 04,950
S01007212,Montrose South - 05,390
S01007213,Montrose South - 06,808
S01007214,Montrose South - 07,663
S01007215,Montrose North - 01,568
S01007216,Montrose North - 02,848
S01007217,Montrose North - 03,883
S01007218,Montrose North - 04,827
S01007219,Montrose North - 05,687
S01007220,Montrose North - 06,750
S01007221,Hillside - 01,991
S01007222,Hillside - 02,651
S01007223,Hillside - 03,586
S01007224,Hillside - 04,594
S01007225,Hillside - 05,839
S01007226,Friockheim - 01,734
S01007227,Friockheim - 02,900
S01007228,Friockheim - 03,565
S01007229,Friockheim - 04,1145
S01007230,Brechin East - 01,729
S01007231,Brechin East - 02,675
S01007232,Brechin East - 03,720
S01007233,Brechin East - 04,655
S01007234,Brechin East - 05,598
S01007235,Brechin West - 01,829
S01007236,Brechin West - 02,610
S01007237,Brechin West - 03,607
