Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006926,42,101,75,60,44,28,21,24,31
S01006927,65,169,119,84,60,38,29,22,41
S01006928,54,126,98,80,78,45,36,62,66
S01006929,58,141,58,59,19,15,10,10,20
S01006930,28,113,78,50,38,20,17,17,9
S01006931,22,55,31,9,24,8,10,10,10
S01006932,87,195,110,72,46,50,50,32,41
S01006933,22,64,42,35,31,20,16,13,17
S01006934,80,169,103,71,62,38,22,30,52
S01006935,27,62,46,37,33,22,14,18,21
S01006936,32,68,48,41,30,21,17,15,19
S01006937,21,79,68,52,49,29,20,20,28
S01006938,13,44,28,27,21,15,18,15,26
S01006939,29,74,53,38,28,19,19,14,19
S01006940,37,115,67,63,38,24,24,17,34
S01006941,23,44,55,25,36,25,26,27,27
S01006942,36,125,72,71,39,29,40,25,38
S01006943,46,128,65,39,25,21,23,9,21
S01006944,70,186,115,72,67,44,33,19,48
S01006945,19,66,32,26,27,8,15,4,12
S01006946,47,82,50,33,31,30,22,25,16
S01006947,34,101,98,70,56,38,29,26,42
S01006948,42,119,61,43,57,38,24,22,34
S01006949,41,110,64,28,40,23,13,11,16
S01006950,46,139,91,66,41,30,24,23,27
S01006951,22,41,36,18,34,24,16,16,26
S01006952,45,105,69,53,73,28,31,27,43
S01006953,38,102,81,50,48,27,19,25,24
S01006954,50,101,77,55,57,29,29,32,38
S01006955,18,45,60,32,31,35,16,16,21
S01006956,48,127,105,80,55,42,41,39,41
S01006957,56,153,101,64,75,29,24,38,43
S01006958,55,167,131,57,83,60,29,43,51
S01006959,24,64,34,31,47,26,14,22,26
S01006960,49,138,74,53,47,53,38,34,47
S01006961,45,143,98,55,65,42,46,22,34
S01006962,32,84,47,46,59,25,30,28,39
S01006963,29,65,44,40,41,29,16,26,23
S01006964,20,75,57,40,57,47,22,14,39
S01006965,16,34,31,28,30,21,12,16,17
S01006966,13,36,37,41,41,30,31,33,39
S01006967,28,64,57,36,44,36,29,16,29
S01006968,14,32,35,25,30,18,10,17,15
S01006969,33,79,64,42,57,33,29,38,49
S01006970,28,84,66,39,27,23,20,20,22
S01006971,14,41,29,17,34,34,8,19,16
S01006972,52,108,73,34,61,21,12,34,28
S01006973,46,130,76,44,44,17,16,15,31
S01006974,47,129,84,48,46,41,18,37,37
S01006975,58,139,79,54,91,46,31,33,61
S01006976,37,58,35,23,36,17,11,12,20
S01006977,42,110,49,44,58,33,20,22,34
S01006978,52,130,72,40,73,32,29,40,48
S01006979,58,125,67,48,67,41,25,44,52
S01006980,56,111,81,47,55,38,20,32,28
S01006981,47,103,68,34,68,24,17,27,30
S01006982,34,105,81,54,68,47,27,45,45
S01006983,27,66,52,38,55,38,18,17,40
S01006984,59,135,90,52,54,33,21,42,35
S01006985,41,92,66,52,74,49,35,33,56
S01006986,39,109,56,38,50,33,26,23,39
S01006987,22,67,48,37,35,26,9,21,29
S01006988,34,68,39,26,24,20,10,10,22
S01006989,77,154,105,63,97,45,27,51,55
S01006990,68,121,86,51,57,21,19,33,29
S01006991,10,31,21,27,42,27,8,23,27
S01006992,34,75,48,32,51,21,10,18,41
S01006993,35,47,29,26,66,18,5,21,33
S01006994,27,60,42,32,52,15,15,25,24
S01006995,47,95,64,37,103,35,27,42,51
S01006996,43,71,76,55,82,56,27,42,59
S01006997,44,99,79,29,60,30,19,31,31
S01006998,61,171,112,49,105,58,45,41,64
S01006999,50,84,44,52,114,32,18,37,52
S01007000,40,97,74,37,71,34,29,41,35
S01007001,41,90,80,56,71,52,22,40,54
S01007002,36,44,36,19,78,33,20,26,50
S01007003,37,49,29,25,82,23,16,22,33
S01007004,38,76,58,29,106,39,10,20,40
S01007005,57,104,53,36,86,29,11,31,53
