Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006992,118,93,1,0,4,34,3
S01006993,107,69,0,0,2,25,3
S01006994,111,82,0,2,4,31,4
S01006995,146,141,0,2,8,55,6
S01006996,125,157,0,0,71,18,7
S01006997,141,134,0,3,16,18,5
S01006998,251,225,2,8,44,40,9
S01006999,158,113,0,0,9,66,14
S01007000,148,136,1,2,101,30,7
S01007001,183,135,0,4,90,38,9
S01007002,81,89,0,1,47,30,1
S01007003,104,66,0,0,9,29,5
S01007004,167,93,1,0,18,39,8
S01007005,201,122,0,2,9,32,3
S01007006,170,105,1,3,57,51,11
S01007007,175,98,0,3,18,44,11
S01007008,163,102,0,2,155,41,8
S01007009,214,119,2,0,113,61,8
S01007010,194,73,4,2,76,40,9
S01007011,123,75,0,0,193,71,7
S01007012,93,47,1,2,156,14,4
S01007013,109,69,0,0,3,20,0
S01007014,177,187,0,1,4,39,13
S01007015,98,77,0,0,14,62,4
S01007016,116,72,0,0,8,29,7
S01007017,160,123,0,0,149,66,11
S01007018,204,87,0,0,46,36,9
S01007019,141,69,0,0,48,27,1
S01007020,135,94,3,6,85,44,15
S01007021,176,112,0,2,57,28,6
S01007022,92,48,0,0,56,13,0
S01007023,108,54,0,0,19,29,5
S01007024,231,117,1,0,38,48,6
S01007025,159,68,2,3,164,14,8
S01007026,253,87,4,0,79,19,11
S01007027,253,110,0,2,97,41,2
S01007028,221,147,0,8,70,55,15
S01007029,122,69,0,0,12,16,7
S01007030,169,77,0,0,89,27,11
S01007031,112,69,1,0,65,25,9
S01007032,183,97,1,1,171,86,10
S01007033,123,74,0,0,77,10,5
S01007034,112,54,0,1,71,14,1
S01007035,133,76,0,0,175,19,7
S01007036,183,107,0,0,79,25,6
S01007037,164,107,0,0,144,16,3
S01007038,121,81,0,1,75,27,2
S01007039,142,137,0,6,142,18,0
S01007040,105,76,0,1,88,16,4
S01007041,131,95,2,1,83,31,2
S01007042,135,102,0,1,58,32,3
S01007043,196,108,1,2,14,54,14
S01007044,167,90,1,0,30,31,6
S01007045,172,118,0,0,8,24,4
S01007046,147,69,4,0,19,18,3
S01007047,159,70,1,0,12,24,8
S01007048,183,103,0,0,24,29,9
S01007049,168,81,2,3,130,36,4
S01007050,127,98,0,1,43,36,5
S01007051,137,122,0,0,57,25,2
S01007052,164,183,0,12,28,14,2
S01007053,106,78,0,1,7,17,2
S01007054,175,122,0,1,112,51,5
S01007055,113,91,2,0,2,24,6
S01007056,127,105,3,0,8,21,4
S01007057,155,60,0,1,26,8,3
S01007058,116,55,1,0,85,23,2
S01007059,198,137,1,7,112,18,6
S01007060,58,63,1,0,71,8,3
S01007061,170,144,2,0,8,38,9
S01007062,139,111,0,0,8,20,4
S01007063,144,92,0,1,28,23,1
S01007064,145,177,0,6,39,16,5
S01007065,145,88,2,0,28,22,4
S01007066,141,130,0,1,51,39,5
S01007067,146,85,0,0,5,12,2
S01007068,115,88,0,1,65,15,3
S01007069,114,127,2,3,61,35,2
S01007070,86,56,0,1,74,27,2
S01007071,132,128,0,0,72,14,7
S01007072,147,94,1,0,12,13,3
S01007073,199,113,0,2,13,8,5
S01007074,98,58,0,1,84,26,4
S01007075,117,75,0,4,104,30,5
S01007076,117,89,1,2,58,26,0
S01007077,166,88,0,1,75,14,3
S01007078,128,79,0,5,112,32,4
S01007079,126,134,0,0,174,54,8
S01007080,129,92,1,2,111,39,3
S01007081,103,90,0,0,110,37,6
S01007082,90,62,0,1,70,24,7
S01007083,127,86,2,2,257,45,4
S01007084,122,70,1,1,51,28,2
S01007085,130,83,0,3,141,111,6
S01007086,61,39,4,0,380,112,8
S01007087,123,77,0,5,210,105,3
S01007088,64,31,1,1,129,40,6
S01007089,132,68,0,0,4,12,5
S01007090,102,97,0,1,9,31,3
S01007091,69,105,0,0,131,9,3
